Code;Bezeichnung;Kategorie-Code;Kategorie-Verwendungstext;Kategorie-Freitext;Berechnungsformel;Formel (Prüfzeit)
35515A;Tiefenpsychologische Psychotherapie (LZT), 5 TN ;K97;Kennzeichnung einer Therapie mit einer Sitzungsdauer von mind. 50 Minuten, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35515B;Tiefenpsychologische Psychotherapie (LZT), 5 TN ;K5;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 und § 18 Abs. 4 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen;;;
35515C;Tiefenpsychologische Psychotherapie (LZT), 5 TN ;K51.1;Kennzeichnung von Psychotherapie-Leistungen im Rahmen der Langzeittherapie als Rezidivprophylaxe, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
35515D;Tiefenpsychologische Psychotherapie (LZT), 5 TN ;K52.1;Kennzeichnung von PT-Leistungen, die gem. § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen, im Rahmen der Langzeittherapie als Rezidivprophylaxe, die im Rahmen einer Videosprechstunde gem. Anlage 31b BMV-Ä durchgeführt werden;;;
35515F;Tiefenpsychologische Psychotherapie (LZT), 5 TN ;K99;Kennzeichnung einer Therapie mit einer Sitzungsdauer von mind. 50 Minuten im Rahmen der Langzeittherapie als Rezidivprophylaxe, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35515G;Tiefenpsychologische Psychotherapie (LZT), 5 TN ;K100;Kennzg. einer Th. mit Sitzungsdauer von mind. 50 Min., die gem. § 11 Abs.10 Anl. 1 BMV-Ä unter Einbez. einer Bezugsperson i. R. der Langzeitth. als Rezidivprophylaxe erfolgt und die i. R. einer Videosprechstunde gem. Anl. 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35515H;Tiefenpsychologische Psychotherapie (LZT), 5 TN ;K58;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35515R;Tiefenpsychologische Psychotherapie (LZT), 5 TN ;K51;Kennzeichnung von Psychotherapie-Leistungen im Rahmen der Langzeittherapie als Rezidivprophylaxe;;;
35515T;Tiefenpsychologische Psychotherapie (LZT), 5 TN ;K98;Kennzeichnung einer Therapie mit Sitzungsdauer von mindestens 50 Minuten, die gemäß § 11 Abs.10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgt und die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35515U;Tiefenpsychologische Psychotherapie (LZT), 5 TN ;K52;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen, im Rahmen der Langzeittherapie als Rezidivprophylaxe;;;
35515V;Tiefenpsychologische Psychotherapie (LZT), 5 TN ;K82;Kennzeichnung von (Gesprächs-)Leistungen, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
35515W;Tiefenpsychologische Psychotherapie (LZT), 5 TN ;K5.1;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 und § 18 Abs. 4 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen und im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
35515X;Tiefenpsychologische Psychotherapie (LZT), 5 TN ;K61;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten im Rahmen der Langzeittherapie als Rezidivprophylaxe;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35515Y;Tiefenpsychologische Psychotherapie (LZT), 5 TN ;K62;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten, die gemäß § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgt, im Rahmen der Langzeittherapie als Rezidivprophylaxe;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35515Z;Tiefenpsychologische Psychotherapie (LZT), 5 TN ;K59;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten, die gemäß § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgt;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35516A;Tiefenpsychologische Psychotherapie (LZT), 6 TN ;K97;Kennzeichnung einer Therapie mit einer Sitzungsdauer von mind. 50 Minuten, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35516B;Tiefenpsychologische Psychotherapie (LZT), 6 TN ;K5;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 und § 18 Abs. 4 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen;;;
35516C;Tiefenpsychologische Psychotherapie (LZT), 6 TN ;K51.1;Kennzeichnung von Psychotherapie-Leistungen im Rahmen der Langzeittherapie als Rezidivprophylaxe, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
35516D;Tiefenpsychologische Psychotherapie (LZT), 6 TN ;K52.1;Kennzeichnung von PT-Leistungen, die gem. § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen, im Rahmen der Langzeittherapie als Rezidivprophylaxe, die im Rahmen einer Videosprechstunde gem. Anlage 31b BMV-Ä durchgeführt werden;;;
35516F;Tiefenpsychologische Psychotherapie (LZT), 6 TN ;K99;Kennzeichnung einer Therapie mit einer Sitzungsdauer von mind. 50 Minuten im Rahmen der Langzeittherapie als Rezidivprophylaxe, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35516G;Tiefenpsychologische Psychotherapie (LZT), 6 TN ;K100;Kennzg. einer Th. mit Sitzungsdauer von mind. 50 Min., die gem. § 11 Abs.10 Anl. 1 BMV-Ä unter Einbez. einer Bezugsperson i. R. der Langzeitth. als Rezidivprophylaxe erfolgt und die i. R. einer Videosprechstunde gem. Anl. 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35516H;Tiefenpsychologische Psychotherapie (LZT), 6 TN ;K58;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35516R;Tiefenpsychologische Psychotherapie (LZT), 6 TN ;K51;Kennzeichnung von Psychotherapie-Leistungen im Rahmen der Langzeittherapie als Rezidivprophylaxe;;;
35516T;Tiefenpsychologische Psychotherapie (LZT), 6 TN ;K98;Kennzeichnung einer Therapie mit Sitzungsdauer von mindestens 50 Minuten, die gemäß § 11 Abs.10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgt und die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35516U;Tiefenpsychologische Psychotherapie (LZT), 6 TN ;K52;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen, im Rahmen der Langzeittherapie als Rezidivprophylaxe;;;
35516V;Tiefenpsychologische Psychotherapie (LZT), 6 TN ;K82;Kennzeichnung von (Gesprächs-)Leistungen, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
35516W;Tiefenpsychologische Psychotherapie (LZT), 6 TN ;K5.1;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 und § 18 Abs. 4 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen und im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
35516X;Tiefenpsychologische Psychotherapie (LZT), 6 TN ;K61;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten im Rahmen der Langzeittherapie als Rezidivprophylaxe;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35516Y;Tiefenpsychologische Psychotherapie (LZT), 6 TN ;K62;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten, die gemäß § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgt, im Rahmen der Langzeittherapie als Rezidivprophylaxe;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35516Z;Tiefenpsychologische Psychotherapie (LZT), 6 TN ;K59;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten, die gemäß § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgt;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35517A;Tiefenpsychologische Psychotherapie (LZT), 7 TN ;K97;Kennzeichnung einer Therapie mit einer Sitzungsdauer von mind. 50 Minuten, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35517B;Tiefenpsychologische Psychotherapie (LZT), 7 TN ;K5;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 und § 18 Abs. 4 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen;;;
35517C;Tiefenpsychologische Psychotherapie (LZT), 7 TN ;K51.1;Kennzeichnung von Psychotherapie-Leistungen im Rahmen der Langzeittherapie als Rezidivprophylaxe, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
35517D;Tiefenpsychologische Psychotherapie (LZT), 7 TN ;K52.1;Kennzeichnung von PT-Leistungen, die gem. § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen, im Rahmen der Langzeittherapie als Rezidivprophylaxe, die im Rahmen einer Videosprechstunde gem. Anlage 31b BMV-Ä durchgeführt werden;;;
35517F;Tiefenpsychologische Psychotherapie (LZT), 7 TN ;K99;Kennzeichnung einer Therapie mit einer Sitzungsdauer von mind. 50 Minuten im Rahmen der Langzeittherapie als Rezidivprophylaxe, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35517G;Tiefenpsychologische Psychotherapie (LZT), 7 TN ;K100;Kennzg. einer Th. mit Sitzungsdauer von mind. 50 Min., die gem. § 11 Abs.10 Anl. 1 BMV-Ä unter Einbez. einer Bezugsperson i. R. der Langzeitth. als Rezidivprophylaxe erfolgt und die i. R. einer Videosprechstunde gem. Anl. 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35517H;Tiefenpsychologische Psychotherapie (LZT), 7 TN ;K58;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35517R;Tiefenpsychologische Psychotherapie (LZT), 7 TN ;K51;Kennzeichnung von Psychotherapie-Leistungen im Rahmen der Langzeittherapie als Rezidivprophylaxe;;;
35517T;Tiefenpsychologische Psychotherapie (LZT), 7 TN ;K98;Kennzeichnung einer Therapie mit Sitzungsdauer von mindestens 50 Minuten, die gemäß § 11 Abs.10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgt und die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35517U;Tiefenpsychologische Psychotherapie (LZT), 7 TN ;K52;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen, im Rahmen der Langzeittherapie als Rezidivprophylaxe;;;
35517V;Tiefenpsychologische Psychotherapie (LZT), 7 TN ;K82;Kennzeichnung von (Gesprächs-)Leistungen, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
35517W;Tiefenpsychologische Psychotherapie (LZT), 7 TN ;K5.1;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 und § 18 Abs. 4 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen und im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
35517X;Tiefenpsychologische Psychotherapie (LZT), 7 TN ;K61;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten im Rahmen der Langzeittherapie als Rezidivprophylaxe;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35517Y;Tiefenpsychologische Psychotherapie (LZT), 7 TN ;K62;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten, die gemäß § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgt, im Rahmen der Langzeittherapie als Rezidivprophylaxe;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35517Z;Tiefenpsychologische Psychotherapie (LZT), 7 TN ;K59;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten, die gemäß § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgt;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35518A;Tiefenpsychologische Psychotherapie (LZT), 8 TN ;K97;Kennzeichnung einer Therapie mit einer Sitzungsdauer von mind. 50 Minuten, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35518B;Tiefenpsychologische Psychotherapie (LZT), 8 TN ;K5;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 und § 18 Abs. 4 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen;;;
35518C;Tiefenpsychologische Psychotherapie (LZT), 8 TN ;K51.1;Kennzeichnung von Psychotherapie-Leistungen im Rahmen der Langzeittherapie als Rezidivprophylaxe, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
35518D;Tiefenpsychologische Psychotherapie (LZT), 8 TN ;K52.1;Kennzeichnung von PT-Leistungen, die gem. § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen, im Rahmen der Langzeittherapie als Rezidivprophylaxe, die im Rahmen einer Videosprechstunde gem. Anlage 31b BMV-Ä durchgeführt werden;;;
35518F;Tiefenpsychologische Psychotherapie (LZT), 8 TN ;K99;Kennzeichnung einer Therapie mit einer Sitzungsdauer von mind. 50 Minuten im Rahmen der Langzeittherapie als Rezidivprophylaxe, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35518G;Tiefenpsychologische Psychotherapie (LZT), 8 TN ;K100;Kennzg. einer Th. mit Sitzungsdauer von mind. 50 Min., die gem. § 11 Abs.10 Anl. 1 BMV-Ä unter Einbez. einer Bezugsperson i. R. der Langzeitth. als Rezidivprophylaxe erfolgt und die i. R. einer Videosprechstunde gem. Anl. 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35518H;Tiefenpsychologische Psychotherapie (LZT), 8 TN ;K58;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35518R;Tiefenpsychologische Psychotherapie (LZT), 8 TN ;K51;Kennzeichnung von Psychotherapie-Leistungen im Rahmen der Langzeittherapie als Rezidivprophylaxe;;;
35518T;Tiefenpsychologische Psychotherapie (LZT), 8 TN ;K98;Kennzeichnung einer Therapie mit Sitzungsdauer von mindestens 50 Minuten, die gemäß § 11 Abs.10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgt und die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35518U;Tiefenpsychologische Psychotherapie (LZT), 8 TN ;K52;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen, im Rahmen der Langzeittherapie als Rezidivprophylaxe;;;
35518V;Tiefenpsychologische Psychotherapie (LZT), 8 TN ;K82;Kennzeichnung von (Gesprächs-)Leistungen, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
35518W;Tiefenpsychologische Psychotherapie (LZT), 8 TN ;K5.1;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 und § 18 Abs. 4 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen und im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
35518X;Tiefenpsychologische Psychotherapie (LZT), 8 TN ;K61;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten im Rahmen der Langzeittherapie als Rezidivprophylaxe;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35518Y;Tiefenpsychologische Psychotherapie (LZT), 8 TN ;K62;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten, die gemäß § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgt, im Rahmen der Langzeittherapie als Rezidivprophylaxe;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35518Z;Tiefenpsychologische Psychotherapie (LZT), 8 TN ;K59;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten, die gemäß § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgt;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35519B;Tiefenpsychologische Psychotherapie (LZT), 9 TN ;K5;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 und § 18 Abs. 4 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen;;;
35519H;Tiefenpsychologische Psychotherapie (LZT), 9 TN ;K58;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35519R;Tiefenpsychologische Psychotherapie (LZT), 9 TN ;K51;Kennzeichnung von Psychotherapie-Leistungen im Rahmen der Langzeittherapie als Rezidivprophylaxe;;;
35519U;Tiefenpsychologische Psychotherapie (LZT), 9 TN ;K52;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen, im Rahmen der Langzeittherapie als Rezidivprophylaxe;;;
35519X;Tiefenpsychologische Psychotherapie (LZT), 9 TN ;K61;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten im Rahmen der Langzeittherapie als Rezidivprophylaxe;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35519Y;Tiefenpsychologische Psychotherapie (LZT), 9 TN ;K62;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten, die gemäß § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgt, im Rahmen der Langzeittherapie als Rezidivprophylaxe;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35519Z;Tiefenpsychologische Psychotherapie (LZT), 9 TN ;K59;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten, die gemäß § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgt;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35523A;Analytische Psychotherapie (KZT), 3 TN ;K97;Kennzeichnung einer Therapie mit einer Sitzungsdauer von mind. 50 Minuten, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35523B;Analytische Psychotherapie (KZT), 3 TN ;K5;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 und § 18 Abs. 4 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen;;;
35523H;Analytische Psychotherapie (KZT), 3 TN ;K58;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35523T;Analytische Psychotherapie (KZT), 3 TN ;K98;Kennzeichnung einer Therapie mit Sitzungsdauer von mindestens 50 Minuten, die gemäß § 11 Abs.10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgt und die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35523V;Analytische Psychotherapie (KZT), 3 TN ;K82;Kennzeichnung von (Gesprächs-)Leistungen, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
35523W;Analytische Psychotherapie (KZT), 3 TN ;K5.1;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 und § 18 Abs. 4 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen und im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
35523Z;Analytische Psychotherapie (KZT), 3 TN ;K59;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten, die gemäß § 11 Abs. 10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgt;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35524A;Analytische Psychotherapie (KZT), 4 TN ;K97;Kennzeichnung einer Therapie mit einer Sitzungsdauer von mind. 50 Minuten, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35524B;Analytische Psychotherapie (KZT), 4 TN ;K5;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 und § 18 Abs. 4 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen;;;
35524H;Analytische Psychotherapie (KZT), 4 TN ;K58;Kennzeichnung einer Therapie mit Sitzungsdauer von mind. 50 Minuten;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35524T;Analytische Psychotherapie (KZT), 4 TN ;K98;Kennzeichnung einer Therapie mit Sitzungsdauer von mindestens 50 Minuten, die gemäß § 11 Abs.10 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgt und die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt wird;50% Abschlag auf Punktzahl und Prüfzeit;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
35524V;Analytische Psychotherapie (KZT), 4 TN ;K82;Kennzeichnung von (Gesprächs-)Leistungen, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
35524W;Analytische Psychotherapie (KZT), 4 TN ;K5.1;Kennzeichnung von Psychotherapie-Leistungen, die gemäß § 11 Abs. 10 und § 18 Abs. 4 Anlage 1 BMV-Ä unter Einbeziehung einer Bezugsperson erfolgen und im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
