Code;Bezeichnung;Kategorie-Code;Kategorie-Verwendungstext;Kategorie-Freitext;Berechnungsformel;Formel (Prüfzeit)
01412R;Dringender Besuch II ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01412S;Dringender Besuch II ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01412U;Dringender Besuch II ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01412W;Dringender Besuch II ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01413E;Besuch eines weiteren Kranken ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01413L;Besuch eines weiteren Kranken ;K102;Kennzeichnung für die Berechnung im Zusammenhang mit der Versorgung gemäß den Leistungen des Abschnitts 37.5 (KSVPsych-RL) oder des Abschnitts 37.6 (KJ-KSVPsych-RL);;;
01413R;Besuch eines weiteren Kranken ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01413S;Besuch eines weiteren Kranken ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01413U;Besuch eines weiteren Kranken ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01413W;Besuch eines weiteren Kranken ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01415E;Dringender Besuch eines Patienten in beschützenden Wohnheimen bzw. Einrichtungen bzw. Pflege- oder Altenheimen mit Pflegepersonal ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01415L;Dringender Besuch eines Patienten in beschützenden Wohnheimen bzw. Einrichtungen bzw. Pflege- oder Altenheimen mit Pflegepersonal ;K102;Kennzeichnung für die Berechnung im Zusammenhang mit der Versorgung gemäß den Leistungen des Abschnitts 37.5 (KSVPsych-RL) oder des Abschnitts 37.6 (KJ-KSVPsych-RL);;;
01415R;Dringender Besuch eines Patienten in beschützenden Wohnheimen bzw. Einrichtungen bzw. Pflege- oder Altenheimen mit Pflegepersonal ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01415S;Dringender Besuch eines Patienten in beschützenden Wohnheimen bzw. Einrichtungen bzw. Pflege- oder Altenheimen mit Pflegepersonal ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01415U;Dringender Besuch eines Patienten in beschützenden Wohnheimen bzw. Einrichtungen bzw. Pflege- oder Altenheimen mit Pflegepersonal ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01415W;Dringender Besuch eines Patienten in beschützenden Wohnheimen bzw. Einrichtungen bzw. Pflege- oder Altenheimen mit Pflegepersonal ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01420V;Prüfung der Notwendigkeit und Koordination der häuslichen Krankenpflege ;K82;Kennzeichnung von (Gesprächs-)Leistungen, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
01424V;Folgeverordnung von Behandlungsmaßnahmen zur psychiatrischen häuslichen Krankenpflege ;K82;Kennzeichnung von (Gesprächs-)Leistungen, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
01437A;Grundpauschale für Vertragsärzte, die zur Versorgung gemäß Kapitel 3 bis 11 oder 13 bis 27 zugelassen sind, für bestimmte Auftragsleistungen ;K123;Bewertung nach der GOP 12222 (bis zum 14000. Behandlungsfall), falls der Vertragsarzt im Quartal als Versicherten , Grund- oder Konsiliarpauschale ausschließlich die Gebührenordnungsposition 01437 abrechnet und in einer Arztpraxis gemeinsam mit den in der Präambel 12.1 Nummer 1 genannten Vertragsärzten tätig ist;;Punktezahl der Basis-GOP x Faktor 0,8;
01437B;Grundpauschale für Vertragsärzte, die zur Versorgung gemäß Kapitel 3 bis 11 oder 13 bis 27 zugelassen sind, für bestimmte Auftragsleistungen ;K124;Bewertung nach der GOP 12222 (ab dem 14001. bis zum 24000. Behandlungsfall), falls der Vertragsarzt im Quartal als Versicherten , Grund- oder Konsiliarpauschale ausschließlich die Gebührenordnungsposition 01437 abrechnet und in einer Arztpraxis gemeinsam mit den in der Präambel 12.1 Nummer 1 genannten Vertragsärzten tätig ist;;Punktezahl der Basis-GOP x Faktor 0,2;
01437C;Grundpauschale für Vertragsärzte, die zur Versorgung gemäß Kapitel 3 bis 11 oder 13 bis 27 zugelassen sind, für bestimmte Auftragsleistungen ;K125;Bewertung nach der GOP 12222 (ab dem 24001. Behandlungsfall), falls der Vertragsarzt im Quartal als Versicherten , Grund- oder Konsiliarpauschale ausschließlich die Gebührenordnungsposition 01437 abrechnet und in einer Arztpraxis gemeinsam mit den in der Präambel 12.1 Nummer 1 genannten Vertragsärzten tätig ist;;Punktezahl der Basis-GOP x Faktor 0,04;
01437D;Grundpauschale für Vertragsärzte, die zur Versorgung gemäß Kapitel 3 bis 11 oder 13 bis 27 zugelassen sind, für bestimmte Auftragsleistungen ;K126;Bewertung nach der GOP 12223 (bis zum 14000. Behandlungsfall), falls der Vertragsarzt im Quartal als Versicherten , Grund- oder Konsiliarpauschale ausschließlich die Gebührenordnungsposition 01437 abrechnet und in einer Arztpraxis gemeinsam mit den in der Präambel 12.1 Nummer 1 genannten Vertragsärzten tätig ist;;Punktezahl der Basis-GOP x Faktor 2,8;
01437E;Grundpauschale für Vertragsärzte, die zur Versorgung gemäß Kapitel 3 bis 11 oder 13 bis 27 zugelassen sind, für bestimmte Auftragsleistungen ;K127;Bewertung nach der GOP 12223 (ab dem 14001. bis zum 24000. Behandlungsfall), falls der Vertragsarzt im Quartal als Versicherten , Grund- oder Konsiliarpauschale ausschließlich die Gebührenordnungsposition 01437 abrechnet und in einer Arztpraxis gemeinsam mit den in der Präambel 12.1 Nummer 1 genannten Vertragsärzten tätig ist;;Punktezahl der Basis-GOP x Faktor 1,4;
01437F;Grundpauschale für Vertragsärzte, die zur Versorgung gemäß Kapitel 3 bis 11 oder 13 bis 27 zugelassen sind, für bestimmte Auftragsleistungen ;K128;Bewertung nach der GOP 12223 (ab dem 24001. Behandlungsfall), falls der Vertragsarzt im Quartal als Versicherten , Grund- oder Konsiliarpauschale ausschließlich die Gebührenordnungsposition 01437 abrechnet und in einer Arztpraxis gemeinsam mit den in der Präambel 12.1 Nummer 1 genannten Vertragsärzten tätig ist;;Punktezahl der Basis-GOP x Faktor 0,04;
01471V;Verlaufskontrolle und Auswertung der DiGA somnio ;K82;Kennzeichnung von (Gesprächs-)Leistungen, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
01479V;Verlaufskontrolle und Auswertung der DiGA elona therapy Depression ;K82;Kennzeichnung von (Gesprächs-)Leistungen, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
01510A;Ambulante Betreuung 2h ;K156;Behandlung mit Lecanemab gemäß der jeweils aktuell gültigen Fachinformation;;;
01510K;Ambulante Betreuung 2h ;K90;Gebührenordnungspositionen, die im Einzelfall gesondert zu kennzeichnen sind, wenn sie in einem direkten Zusammenhang mit der Durchführung einer Kryokonservierung stehen oder Voraussetzung für die Durchführung einer Kryokonservierung sind.;;;
01510T;Ambulante Betreuung 2h ;K83;Kennzeichnung der GOP 01510 bis 01512, 02100 und/oder 02101, die gemäß 4.4.2 Nr. 3 oder 4.5.1 Nr. 3 oder 4.5.3 Nr. 2 entgegen der Bestimmung im Anhang 1 neben der Versichertenpauschale berechnet werden können;;;
01510X;Ambulante Betreuung 2h ;K2;Gebührenordnungspositionen, die im Einzelfall gesondert zu kennzeichnen sind, wenn sie in einem direkten Zusammenhang mit der Durchführung einer Künstlichen Befruchtung stehen oder Voraussetzung für die Durchführung einer Künstlichen Befruchtung sind. ;;Punktezahl der Basis-GOP x Faktor 0,5;
01511K;Ambulante Betreuung 4h ;K90;Gebührenordnungspositionen, die im Einzelfall gesondert zu kennzeichnen sind, wenn sie in einem direkten Zusammenhang mit der Durchführung einer Kryokonservierung stehen oder Voraussetzung für die Durchführung einer Kryokonservierung sind.;;;
01511T;Ambulante Betreuung 4h ;K83;Kennzeichnung der GOP 01510 bis 01512, 02100 und/oder 02101, die gemäß 4.4.2 Nr. 3 oder 4.5.1 Nr. 3 oder 4.5.3 Nr. 2 entgegen der Bestimmung im Anhang 1 neben der Versichertenpauschale berechnet werden können;;;
01511X;Ambulante Betreuung 4h ;K2;Gebührenordnungspositionen, die im Einzelfall gesondert zu kennzeichnen sind, wenn sie in einem direkten Zusammenhang mit der Durchführung einer Künstlichen Befruchtung stehen oder Voraussetzung für die Durchführung einer Künstlichen Befruchtung sind. ;;Punktezahl der Basis-GOP x Faktor 0,5;
01512K;Ambulante Betreuung 6h ;K90;Gebührenordnungspositionen, die im Einzelfall gesondert zu kennzeichnen sind, wenn sie in einem direkten Zusammenhang mit der Durchführung einer Kryokonservierung stehen oder Voraussetzung für die Durchführung einer Kryokonservierung sind.;;;
01512T;Ambulante Betreuung 6h ;K83;Kennzeichnung der GOP 01510 bis 01512, 02100 und/oder 02101, die gemäß 4.4.2 Nr. 3 oder 4.5.1 Nr. 3 oder 4.5.3 Nr. 2 entgegen der Bestimmung im Anhang 1 neben der Versichertenpauschale berechnet werden können;;;
01512X;Ambulante Betreuung 6h ;K2;Gebührenordnungspositionen, die im Einzelfall gesondert zu kennzeichnen sind, wenn sie in einem direkten Zusammenhang mit der Durchführung einer Künstlichen Befruchtung stehen oder Voraussetzung für die Durchführung einer Künstlichen Befruchtung sind. ;;Punktezahl der Basis-GOP x Faktor 0,5;
01611V;Verordnung von medizinischer Rehabilitation ;K82;Kennzeichnung von (Gesprächs-)Leistungen, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
01613V;Zuschlag geriatrische Rehabilitation ;K82;Kennzeichnung von (Gesprächs-)Leistungen, die im Rahmen einer Videosprechstunde gemäß Anlage 31b zum BMV-Ä durchgeführt werden;;;
01645A;Aufklärung und Beratung sowie Zusammenstellung der Patientenunterlagen gemäß § 6 Abs. 4 der Richtlinie des Gemeinsamen Bundesausschusses zum Zweitmeinungsverfahren (Zweitmeinungsverfahren bei einer bevorstehenden Mandeloperation) ;K73;Kennzeichnung von Leistungen, die im Rahmen des Zweitmeinungsverfahrens gemäß Richtlinie zum Zweitmeinungsverfahren (Zm-RL) des Gemeinsamen Bundesausschusses (G-BA) abgerechnet werden;;;
01645B;Aufklärung und Beratung sowie Zusammenstellung der Patientenunterlagen gemäß § 6 Abs. 4 der Richtlinie des Gemeinsamen Bundesausschusses zum Zweitmeinungsverfahren (Zweitmeinungsverfahren bei einer bevorstehenden Gebärmutterentfernung) ;K73;Kennzeichnung von Leistungen, die im Rahmen des Zweitmeinungsverfahrens gemäß Richtlinie zum Zweitmeinungsverfahren (Zm-RL) des Gemeinsamen Bundesausschusses (G-BA) abgerechnet werden;;;
01645C;Aufklärung und Beratung sowie Zusammenstellung der Patientenunterlagen gemäß § 6 Abs. 4 der Richtlinie des Gemeinsamen Bundesausschusses zum Zweitmeinungsverfahren (Zweitmeinungsverfahren bei einer bevorstehenden Schulterarthroskopie) ;K73;Kennzeichnung von Leistungen, die im Rahmen des Zweitmeinungsverfahrens gemäß Richtlinie zum Zweitmeinungsverfahren (Zm-RL) des Gemeinsamen Bundesausschusses (G-BA) abgerechnet werden;;;
01645D;Aufklärung und Beratung sowie Zusammenstellung der Patientenunterlagen gemäß § 6 Abs. 4 der Richtlinie des Gemeinsamen Bundesausschusses zum Zweitmeinungsverfahren (Zweitmeinungsverfahren bei einer bevorstehenden Amputation beim Diabetischen Fußsyndrom) ;K73;Kennzeichnung von Leistungen, die im Rahmen des Zweitmeinungsverfahrens gemäß Richtlinie zum Zweitmeinungsverfahren (Zm-RL) des Gemeinsamen Bundesausschusses (G-BA) abgerechnet werden;;;
01645E;Aufklärung und Beratung sowie Zusammenstellung der Patientenunterlagen gemäß § 6 Abs. 4 der Richtlinie des Gemeinsamen Bundesausschusses zum Zweitmeinungsverfahren (Zweitmeinungsverfahren bei geplantem Kniegelenkersatz) ;K73;Kennzeichnung von Leistungen, die im Rahmen des Zweitmeinungsverfahrens gemäß Richtlinie zum Zweitmeinungsverfahren (Zm-RL) des Gemeinsamen Bundesausschusses (G-BA) abgerechnet werden;;;
01645F;Aufklärung und Beratung sowie Zusammenstellung der Patientenunterlagen gemäß § 6 Abs. 4 der Richtlinie des Gemeinsamen Bundesausschusses zum Zweitmeinungsverfahren (Zweitmeinungsverfahren bei Eingriffen an der Wirbelsäule) ;K73;Kennzeichnung von Leistungen, die im Rahmen des Zweitmeinungsverfahrens gemäß Richtlinie zum Zweitmeinungsverfahren (Zm-RL) des Gemeinsamen Bundesausschusses (G-BA) abgerechnet werden;;;
